"","Learner","SL Weights","Predictors","Coefficient","Odds Ratio"
"1","screen_univariate_logistic_pval_SL.glm","0.842","(Intercept)","-3.636","0.026"
"2","screen_univariate_logistic_pval_SL.glm","0.842","Black","-0.089","0.914"
"3","screen_univariate_logistic_pval_SL.glm","0.842","Unknown"," 0.054","1.055"
"4","screen_univariate_logistic_pval_SL.glm","0.842","HighRiskInd"," 0.847","2.332"
"5","screen_univariate_logistic_pval_SL.glm","0.842","Age"," 0.738","2.093"
